molecule,betweenness
NM_001369545,98932.43816343157
NM_145251,98564.16799545138
NM_001039570,98559.87005308109
NM_001384140,98327.91345004046
NM_004293,98240.00870996207
NM_001244710,98001.5004407357
NM_001149,97812.97141590778
XM_011536940,97482.76198143115
NM_176877,97373.68331930925
NM_015042,97329.47765916417
NM_182762,97270.1723934667
NM_001034954,96918.97239776759
NM_001317851,96892.76729719454
NM_001242507,96551.26944980562
NM_001374824,96412.54847129286
NM_001024847,95871.23327337696
NM_001163278,95817.57511516838
NM_001159996,95812.32964223475
NM_005901,95759.92161705905
NM_002285,95706.75733199371
NM_001316745,94988.51172788665
NM_001252652,94209.01330126985
XM_047427710,94156.5829177253
NM_001364276,93785.91971452755
NM_001252612,93700.07985857391
XM_017010178,93470.4624548699
XM_017010179,93470.4624548699
NM_032312,93388.44184984686
XM_006720565,93265.52014201361
XM_006711977,93248.52129946703
NM_001306093,93142.22380767913
NM_001369540,93115.4130152344
XM_047447091,93090.03661254489
NM_198535,93060.49485333139
NM_006628,93044.69623102457
NM_006662,92997.83896657408
NM_001280555,92906.96610771776
NM_001291858,92870.12377780439
NM_001256959,92845.82828752359
NM_001286,92845.82828752359
XM_047428608,92699.50542328744
NM_001135179,92643.12325292185
NM_002589,92627.31732232022
NM_001369544,92625.27967555032
NM_001306199,92618.75209875239
NM_001013620,92517.21667812574
NM_007038,92473.55637285314
NM_001204404,92404.33950197573
NM_001144967,92046.611089206
NM_001243960,92046.611089206
NM_015277,92046.611089206
NM_138318,92025.00296171829
NM_001040284,91996.65857740099
NM_000814,91847.99123475832
XM_011521428,91847.99123475832
NM_001386894,91527.35479599403
NM_005828,91510.33200918313
NM_001170704,91374.04763002481
NM_016331,91146.29292498063
NM_001320874,91068.19005394491
NM_001256753,91060.56806721255
NM_004612,91042.71169769268
XM_011518949,91042.71169769268
NM_001137675,90963.25102849375
NM_000332,90946.40243094528
NM_020935,90661.70173760926
NM_001300851,90508.8567745445
NM_003458,90420.77465678466
NM_015559,90215.50618801794
NM_153184,90134.93712125169
NM_020791,90090.17514228926
NM_001010898,89985.37187407336
NM_001376820,89764.29199972618
NM_207295,89764.29199972618
NM_207297,89764.29199972618
NM_178152,89618.9656875767
NM_001198628,89517.75661820636
NM_001042413,89247.54448553499
NM_001256735,89023.7967878175
NM_003668,89006.64413310471
NM_001365023,88550.05119760525
NM_002056,88389.3569139769
NM_001286349,88335.16339571936
NM_001330118,88000.13222189051
NM_178457,88000.12613521596
XM_017002417,87938.42857216239
XM_047431290,87938.42857216239
NM_139071,87859.8160439316
NM_001039960,87766.48087840168
NM_001256750,87678.44925611584
NM_001393897,87669.32750125171
NM_001145279,87482.72363302652
NM_001145281,87482.72363302652
NM_001145287,87482.72363302652
NM_001285526,87482.72363302652
NM_206595,87425.83396768606
NM_024721,87384.47681956115
NM_003966,87306.60465496879
XM_011514156,87306.60465496879
XM_011518311,87264.93122280503
NM_001194999,87126.96915455846
NM_001634,87018.6248522091
NM_001270943,86712.53914497835
NM_001170794,86665.34299360533
XM_017025890,86488.99512595484
NM_005822,86476.03681345805
NM_001198632,86464.79636815493
NM_173851,86342.67459637689
NM_001135669,86259.08387414405
NM_004859,86255.07294644599
NM_175767,86207.05363772834
NM_001369547,86117.08618402723
NM_001369549,86117.08618402723
NM_016287,86061.5626977375
NM_001080541,85908.90074956154
NM_001164273,85908.90074956154
NM_001286219,85524.66559926314
NM_052907,85524.66559926314
NM_001184898,85336.04649932683
NM_016559,85093.9650320026
NM_030648,85074.08189136205
NM_015092,84961.83847448522
NM_152629,84932.06645762823
NM_016120,84908.86223660779
NM_006734,84900.56188359311
NM_153498,84775.37783192191
NM_203327,84722.30056769973
NM_001391893,84685.79128891305
NM_001391900,84685.79128891305
NM_001391905,84685.79128891305
NM_001391906,84685.79128891305
NM_014979,84542.98235174015
NM_001354420,84516.0875136976
NM_001322027,84502.16429074638
NM_022552,84437.82964540855
NM_001160004,84430.19774885633
NM_013957,84430.19774885633
NM_013960,84430.19774885633
NM_013964,84430.19774885633
NM_001330309,84303.73975632775
NM_145869,84263.22876049187
NM_001195415,84182.48870289794
NM_001384451,84087.31455261158
NM_001243513,83811.08680516464
NM_198269,83755.93139111958
NM_022731,83704.94798221417
NM_001369536,83666.71794387909
NM_003246,83648.15907137025
NM_001024660,83403.26604952998
NM_001388419,83403.26604952998
NM_001144877,83374.3162153299
NM_001077196,83363.95198757685
NM_020893,83304.89048076175
NM_004226,83163.4551807349
XM_011512169,83163.4551807349
XM_047437476,83117.20329795928
NM_001386910,83082.25910942066
NM_001198625,82895.31010814907
NM_001348010,82852.4549227627
NM_000809,82751.85854968944
NM_001043351,82697.6114628078
NM_153649,82697.6114628078
NM_206854,82647.43889413311
NM_001006636,82509.65829024125
XM_047449402,82492.2687539669
NM_001127649,82458.7872007413
NM_199424,82350.10198769956
NM_016734,82217.62379453419
NM_001365953,82211.80960975986
NM_004975,82198.64856343891
XM_005249775,82101.88596823058
NM_133486,81947.24662748238
NM_005121,81863.09803471302
NM_006336,81818.5938412084
XM_011541538,81794.11050473648
NM_019091,81728.74504241944
NM_015385,81595.09607459587
NM_001271685,81567.87889963834
NM_002919,81444.39685547592
NM_001318042,81411.5552790022
NM_175861,81342.25411388237
NM_021161,81304.42977317938
NM_001122964,81278.83067270399
XM_047449174,81260.34900101136
NM_001165966,81229.5454071875
NM_001198626,81185.27379868126
XM_047443838,81008.2766832993
NM_001320722,80702.56371392129
NM_001206653,80700.4524786026
NM_001012755,80576.99976378086
NM_001270455,80400.6260572287
NM_001329237,80366.18689802384
NM_001329238,80366.18689802384
NM_001321160,80360.05468123686
NM_001043318,80340.04805069201
NM_001280549,80067.54839182184
NM_001280553,80067.54839182184
XM_017024551,80055.66514555721
NM_001037165,79683.2827600038
NM_018263,79642.44520949917
NM_001382353,79573.90608077394
NM_001134232,79555.76833591895
NM_018374,79555.76833591895
NM_001387869,79533.75822578043
NM_001306195,79437.99218479225
NM_001317406,79319.80814816937
NM_001386889,79243.622994106
NM_001270944,79236.83022604218
NM_138435,79022.86871192198
NM_024991,78982.30390581975
NM_001384542,78683.87440286981
NM_001384455,78565.31778469433
XM_005248307,78538.95611331491
XM_011514046,78538.95611331491
NM_001113239,78507.4028823318
NM_022347,78434.86914443472
NM_017628,78419.54194644045
NM_001308340,77939.6747876818
NM_001025108,77285.90081700346
NM_001386135,77285.90081700346
XM_005263943,77285.90081700346
XM_017014760,77209.62244926632
NM_001278387,77184.87664352481
NM_001003665,77148.2123942005
XM_011544183,77148.2123942005
XM_005248635,77066.6514561304
NM_025074,77044.98154631088
NM_133334,77010.803949906
NM_001376328,76951.86727488838
NM_001301212,76935.51212378098
NM_017672,76935.51212378098
NM_001330117,76920.15378366837
NM_001190981,76841.12984532521
XM_017018477,76838.6991266021
NM_001206491,76761.92826126958
NM_001308248,76703.45718468152
NM_005665,76703.45718468152
NM_021961,76570.1435701155
NM_139321,76557.67413253941
NM_003403,76281.16879927924
NM_001280548,76124.83623664895
NM_005509,76015.19128161548
NM_005943,75950.53765560075
NM_001257137,75908.9399249798
NM_001257138,75908.9399249798
NM_001324197,75908.9399249798
NM_001324198,75908.9399249798
NM_031483,75908.9399249798
NM_001167821,75842.3311485257
NM_173598,75434.13352541572
NM_020122,75275.59772439473
NM_001271855,75275.18743991095
NM_001303401,75260.705073661
NM_024548,75260.705073661
NM_001242377,75246.5691241516
NM_152624,75246.5691241516
NM_001002257,75226.68076010405
XM_047447393,75201.26775893723
NM_015074,75140.02171429951
NM_001143820,75074.53093323254
NM_001330520,74992.58213366185
NM_014494,74992.58213366185
NM_001290294,74910.1360364976
NM_001160148,74821.79694890854
XM_005270691,74775.70527933717
XM_017000870,74775.70527933717
XM_011509304,74463.45404131067
NM_032288,74418.70861882334
NM_004736,74340.93373804622
NM_001127183,74321.70331944246
NM_001202516,74321.70331944246
NM_001202517,74321.70331944246
NM_139078,74105.66073493808
NM_001385161,74018.68169046927
NM_006766,73967.57451538918
NM_152280,73931.25798532362
NM_013410,73926.68456543714
NM_001369537,73830.23376942666
NM_001384354,73788.43603765659
NM_015206,73733.21383999762
NM_001386911,73690.63220460102
NM_001205228,73604.57894667772
XM_047442007,73603.47735718268
NM_198281,73574.95869344739
NM_004717,73458.29539900571
NM_001130916,73448.38206527372
NM_001306210,73448.38206527372
NM_001003698,73432.04069246561
NM_001003699,73432.04069246561
NM_001160332,73350.14658975648
NM_015090,73350.14658975648
NM_001170701,73046.12382478191
XM_047416144,73041.28612719773
NM_001287215,73024.10942923563
NM_017686,73013.89006267981
XM_047443869,72962.32381352766
XM_017002708,72883.18308479054
NM_001033044,72842.2439617979
NM_001033056,72842.2439617979
NM_001352917,72837.03045558119
NM_001077484,72809.14913633802
NM_020922,72766.14281158856
NM_001004304,72671.37219106682
NM_001280552,72663.07978370908
NM_001191005,72614.3765921566
NM_054016,72614.3765921566
NM_018229,72608.47405356939
NM_152999,72607.88317381944
NM_001134742,72592.28908747721
NM_001077690,72549.00519331906
NM_001079812,72518.1388501069
XM_024450461,72487.42004486933
NM_181521,72438.86624518392
XM_011522882,72438.86624518392
NM_014912,72349.58743215853
NM_001388092,72122.8999708405
NM_001128164,72052.95282246498
NM_001282735,72017.2610083588
NM_001282743,72017.2610083588
NM_015535,72017.2610083588
NM_170782,71954.34756246515
NM_001164766,71638.5676601113
NM_001080497,71629.9524436135
NM_014171,71592.20365348573
XM_024450296,71542.49666534313
NM_001031732,71418.9421159835
NM_005941,71413.85463191733
NM_000914,70895.70821586398
NM_207296,70794.02563860432
NM_001321829,70717.41516822956
NM_052845,70623.32966760767
NM_032968,70615.7814727731
NM_182551,70593.58855785396
NM_206594,70565.66974248421
XM_005251386,70532.26204746657
NM_001195416,70329.39409889356
NM_001369532,69988.8576945275
NM_001271629,69954.17526684912
NM_001270942,69931.19806087702
NM_001114635,69834.19995040026
NM_006496,69730.09216074082
NM_001369481,69717.16376040097
NM_001256424,69684.75819349902
NM_206853,69597.74705300358
NM_001128219,69542.84601680949
NM_001245002,69495.96878903838
NM_001245004,69495.96878903838
NM_001245005,69495.96878903838
NM_005597,69495.96878903838
NM_205843,69495.96878903838
NM_001034,69432.76214633092
NM_001256751,69396.31563979277
NM_001251973,69365.58009120873
NM_001197026,69299.8795237097
NM_001371487,69208.9048994163
NM_001365838,69198.17044715086
XM_011530939,69124.72399433423
NM_017934,68941.02170201947
NM_001167820,68871.99954793087
XM_011513281,68844.79929225986
XM_011530008,68608.90925165
XM_011544512,68364.75532017909
NM_173690,68305.65488018058
NM_001134407,68263.66065974307
NM_000721,68227.09728825567
NM_152244,68192.51932463939
XM_047437713,68188.43524270454
NM_001198832,68183.5104332434
NM_006434,68104.53929760112
NM_001109689,68089.5271228403
NM_183416,68063.59256942311
NM_175636,67977.71839858373
NM_002585,67976.01626298657
NM_001271684,67957.51626308488
NM_012243,67957.51626308488
NM_001364680,67882.79887809677
NM_001220778,67864.0226785694
NM_014636,67841.4795101008
NM_020463,67825.73151054293
NM_001367875,67634.04734968161
NM_001130067,67500.79981396618
NM_153810,67433.70398814685
NM_001105539,67388.62359913181
NM_001127208,67321.86847317003
NM_001277815,67182.61291774063
NM_002249,67172.39638358183
XM_017025749,67053.73304810969
XM_047437507,67053.73304810969
NM_025205,66771.7681643238
NM_022740,66760.17493256953
XM_011520285,66753.37554268954
XM_017018136,66753.37554268954
XM_017018137,66753.37554268954
XM_017018138,66753.37554268954
XM_047427436,66753.37554268954
XM_047427440,66753.37554268954
NM_001199319,66743.0069757558
NM_017929,66743.0069757558
NM_001371727,66685.47301367398
NM_001193416,66673.30966744556
NM_001193417,66673.30966744556
NM_001376833,66590.1020943428
NM_001376836,66590.1020943428
NM_021038,66590.1020943428
NM_207292,66590.1020943428
NM_207293,66590.1020943428
NM_207294,66590.1020943428
XM_005248729,66478.42924192485
NM_002583,66428.96850749948
XM_047428367,66423.57605299172
NM_014112,66409.71833265279
NM_001123067,66409.24155462084
NM_016834,66409.24155462084
NM_015224,66274.46178146408
NM_170731,66262.1323871331
NM_001018066,66192.68090697797
XM_017014755,66192.68090697797
NM_024940,66175.78346229988
NM_018121,66036.7536018933
NM_001142546,65898.76383905209
NM_001395315,65884.86187359097
NM_001005353,65753.67200660562
XM_005257262,65748.1090186677
XM_011524697,65748.1090186677
NM_001321154,65743.01565587809
XM_024451135,65710.94798686306
XM_047437405,65710.94798686306
NM_001034956,65664.62218596438
NM_001308189,65655.55510045613
NM_001308191,65655.55510045613
NM_001308192,65655.55510045613
NM_001308193,65655.55510045613
NM_030627,65655.55510045613
XM_017005164,65618.16206686664
XM_047426290,65615.24000448345
XM_047426292,65615.24000448345
NM_001171137,65590.76523255871
NM_001159677,65445.52228067895
XM_047439073,65428.57746138694
NM_130393,65361.29734894378
NM_001306191,65333.91246757268
NM_031895,65314.73511806602
NM_001042717,65270.38558708754
NM_033107,65270.38558708754
XM_017025018,65201.156363348964
NM_001306196,65185.71972719609
NM_018836,65180.11274274582
NM_018662,65047.41592411513
NM_152707,64967.724302334624
NM_133372,64805.71244000481
NM_001164440,64735.29239787651
NM_001204961,64712.500243233815
NM_014813,64648.263068219625
NM_004096,64632.209602336516
NM_001136024,64562.14711118289
NM_001291868,64562.14711118289
NM_001280554,64560.35882963056
NM_001280556,64560.35882963056
NM_001278190,64424.54006948121
NM_002338,64338.94701251776
NM_001330251,64307.15108026251
NM_001776,64289.084616663684
NM_001276464,64253.287298157025
NM_001330761,64207.47307040656
NM_001350520,64206.23513967533
NM_001191009,64077.86511117035
NM_001206651,64073.8178216745
NM_000044,64039.79305786581
NM_181839,63804.601412385484
XM_006713743,63768.14062528089
XM_017007178,63768.14062528089
NM_001379141,63740.66733611357
NM_001379142,63740.66733611357
XM_024451154,63740.66733611357
XM_047437478,63740.66733611357
NM_006933,63700.499899939095
NM_001358534,63675.19117185442
NM_001290321,63655.05549234298
NM_001135662,63451.004154293114
NM_001252078,63429.794359623236
NM_006313,63429.794359623236
NM_001018067,63403.419742032245
NM_001018068,63403.419742032245
NM_001018069,63403.419742032245
NM_001387033,63325.49918746336
NM_001387034,63325.49918746336
XM_011542933,63325.49918746336
NM_001267843,63319.548733663345
NM_031220,63137.26036645185
NM_001127231,63096.548701880696
NM_015570,63096.548701880696
NM_014598,63053.46661203345
NM_001160125,62932.89628062261
NM_001247996,62890.18783583003
NM_024594,62854.02507058503
NM_033406,62844.2291119859
NM_001244889,62840.709238475
NM_170744,62840.709238475
NM_001372052,62840.70260371898
NM_001377392,62809.19331874053
NM_001395302,62809.19331874053
NM_004961,62785.00291178623
NM_001104631,62694.98127353575
NM_001256734,62655.79462387664
XM_011511157,62607.48600675886
NM_019106,62601.463377005355
NM_001130699,62553.69760172509
NM_001282791,62509.562708898164
NM_001134408,62484.552570447115
NM_012333,62473.480593515094
NM_139283,62463.07132078394
XM_047423562,62390.47924377494
