molecule,localClusteringCoefficient
NM_000334,0.0
NM_000335,0.0
NM_000336,0.0
NM_000337,0.0
NM_000339,0.0
NM_000343,0.0
NM_000345,0.0
NM_000346,0.0
NM_000348,0.0
NM_000351,0.0
NM_000353,0.0
NM_000356,0.0
NM_000358,0.0
NM_000361,0.0
NM_000362,0.0
NM_000367,0.0
NM_000368,0.0
NM_000370,0.0
NM_000373,0.0
NM_000376,0.0
NM_000377,0.0
NM_000378,0.0
NM_000381,0.0
NM_000389,0.0
NM_000390,0.0
NM_000392,0.0
NM_000393,0.0
NM_000394,0.0
NM_000395,0.0
NM_000397,0.0
NM_000398,0.0
NM_000399,0.0
NM_000400,0.0
NM_000403,0.0
NM_000405,0.0
NM_000406,0.0
NM_000408,0.0
NM_000411,0.0
NM_000415,0.0
NM_000418,0.0
NM_000421,0.0
NM_000422,0.0
NM_000424,0.0
NM_000426,0.0
NM_000428,0.0
NM_000429,0.0
NM_000430,0.0
NM_000435,0.0
NM_000436,0.0
NM_000438,0.0
NM_000439,0.0
NM_000440,0.0
NM_000441,0.0
NM_000442,0.0
NM_000444,0.0
NM_000445,0.0
NM_000450,0.0
NM_000451,0.0
NM_000453,0.0
NM_000457,0.0
NM_000459,0.0
NM_000460,0.0
NM_000461,0.0
NM_000462,0.0
NM_000465,0.0
NM_000474,0.0
NM_000476,0.0
NM_000478,0.0
NM_000480,0.0
NM_000484,0.0
NM_000486,0.0
NM_000487,0.0
NM_000489,0.0
NM_000492,0.0
NM_000495,0.0
NM_000498,0.0
NM_000500,0.0
NM_000501,0.0
NM_000503,0.0
NM_000506,0.0
NM_000508,0.0
NM_000511,0.0
NM_000514,0.0
NM_000515,0.0
NM_000516,0.0
NM_000520,0.0
NM_000522,0.0
NM_000525,0.0
NM_000527,0.0
NM_000529,0.0
NM_000530,0.0
NM_000532,0.0
NM_000533,0.0
NM_000535,0.0
NM_000536,0.0
NM_000538,0.0
NM_000539,0.0
NM_000540,0.0
NM_000542,0.0
NM_000546,0.0
NM_000547,0.0
NM_000551,0.0
NM_000553,0.0
NM_000554,0.0
NM_000557,0.0
NM_000560,0.0
NM_000562,0.0
NM_000564,0.0
NM_000565,0.0
NM_000567,0.0
NM_000569,0.0
NM_000570,0.0
NM_000575,0.0
NM_000577,0.0
NM_000578,0.0
NM_000584,0.0
NM_000596,0.0
NM_000598,0.0
NM_000599,0.0
NM_000601,0.0
NM_000602,0.0
NM_000603,0.0
NM_000609,0.0
NM_000610,0.0
NM_000611,0.0
NM_000612,0.0
NM_000614,0.0
NM_000615,0.0
NM_000616,0.0
NM_000617,0.0
NM_000618,0.0
NM_000619,0.0
NM_000620,0.0
NM_000621,0.0
NM_000625,0.0
NM_000629,0.0
NM_000632,0.0
NM_000633,0.0
NM_000636,0.0
NM_000637,0.0
NM_000641,0.0
NM_000642,0.0
NM_000643,0.0
NM_000644,0.0
NM_000646,0.0
NM_000657,0.0
NM_000660,0.0
NM_000661,0.0
NM_000663,0.0
NM_000671,0.0
NM_000672,0.0
NM_000677,0.0
NM_000680,0.0
NM_000684,0.0
NM_000685,0.0
NM_000686,0.0
NM_000687,0.0
NM_000689,0.0
NM_000693,0.0
NM_000694,0.0
NM_000696,0.0
NM_000702,0.0
NM_000707,0.0
NM_000713,0.0
NM_000718,0.0
NM_000719,0.0
NM_000720,0.0
NM_000721,0.0
NM_000722,0.0
NM_000724,0.0
NM_000725,0.0
NM_000726,0.0
NM_000727,0.0
NM_000732,0.0
NM_000740,0.0
NM_000744,0.0
NM_000746,0.0
NM_000755,0.0
NM_000757,0.0
NM_000761,0.0
NM_000769,0.0
NM_000770,0.0
NM_000777,0.0
NM_000778,0.0
NM_000779,0.0
NM_000782,0.0
NM_000787,0.0
NM_000788,0.0
NM_000789,0.0
NM_000793,0.0
NM_000794,0.0
NM_000798,0.0
NM_000800,0.0
NM_000801,0.0
NM_000806,0.0
NM_000807,0.0
NM_000809,0.0
NM_000810,0.0
NM_000812,0.0
NM_000813,0.0
NM_000814,0.0
NM_000816,0.0
NM_000817,0.0
NM_000818,0.0
NM_000819,0.0
NM_000821,0.0
NM_000824,0.0
NM_000826,0.0
NM_000827,0.0
NM_000828,0.0
NM_000829,0.0
NM_000831,0.0
NM_000832,0.0
NM_000833,0.0
NM_000834,0.0
NM_000839,0.0
NM_000840,0.0
NM_000841,0.0
NM_000842,0.0
NM_000843,0.0
NM_000844,0.0
NM_000845,0.0
NM_000849,0.0
NM_000855,0.0
NM_000856,0.0
NM_000859,0.0
NM_000860,0.0
NM_000861,0.0
NM_000863,0.0
NM_000864,0.0
NM_000865,0.0
NM_000868,0.0
NM_000871,0.0
NM_000874,0.0
NM_000875,0.0
NM_000876,0.0
NM_000877,0.0
NM_000880,0.0
NM_000882,0.0
NM_000883,0.0
NM_000885,0.0
NM_000888,0.0
NM_000891,0.0
NM_000893,0.0
NM_000896,0.0
NM_000899,0.0
NM_000901,0.0
NM_000902,0.0
NM_000905,0.0
NM_000906,0.0
NM_000908,0.0
NM_000909,0.0
NM_000910,0.0
NM_000912,0.0
NM_000914,0.0
NM_000916,0.0
NM_000917,0.0
NM_000918,0.0
NM_000919,0.0
NM_000921,0.0
NM_000922,0.0
NM_000923,0.0
NM_000924,0.0
NM_000925,0.0
NM_000926,0.0
NM_000929,0.0
NM_000930,0.0
NM_000932,0.0
NM_000933,0.0
NM_000934,0.0
NM_000935,0.0
NM_000939,0.0
NM_000940,0.0
NM_000942,0.0
NM_000943,0.0
NM_000944,0.0
NM_000945,0.0
NM_000947,0.0
NM_000949,0.0
NM_000950,0.0
NM_000952,0.0
NM_000961,0.0
NM_000962,0.0
NM_000963,0.0
NM_000964,0.0
NM_000965,0.0
NM_000967,0.0
NM_000983,0.0
NM_000990,0.0
NM_000991,0.0
NM_000993,0.0
NM_000996,0.0
NM_001001132,0.0
NM_001001323,0.0
NM_001001330,0.0
NM_001001331,0.0
NM_001001344,0.0
NM_001001349,0.0
NM_001001389,0.0
NM_001001390,0.0
NM_001001391,0.0
NM_001001395,0.0
NM_001001396,0.0
NM_001001411,0.0
NM_001001413,0.0
NM_001001415,0.0
NM_001001433,0.0
NM_001001436,0.0
NM_001001479,0.0
NM_001001481,0.0
NM_001001485,0.0
NM_001001486,0.0
NM_001001487,0.0
NM_001001523,0.0
NM_001001547,0.0
NM_001001548,0.0
NM_001001549,0.0
NM_001001550,0.0
NM_001001555,0.0
NM_001001556,0.0
NM_001001557,0.0
NM_001001560,0.0
NM_001001653,0.0
NM_001001661,0.0
NM_001001662,0.0
NM_001001664,0.0
NM_001001665,0.0
NM_001001668,0.0
NM_001001669,0.0
NM_001001715,0.0
NM_001001790,0.0
NM_001001851,0.0
NM_001001852,0.0
NM_001001872,0.0
NM_001001874,0.0
NM_001001890,0.0
NM_001001894,0.0
NM_001001924,0.0
NM_001001925,0.0
NM_001001933,0.0
NM_001001937,0.0
NM_001001971,0.0
NM_001001973,0.0
NM_001001974,0.0
NM_001001976,0.0
NM_001001994,0.0
NM_001001995,0.0
NM_001001996,0.0
NM_001002006,0.0
NM_001002017,0.0
NM_001002018,0.0
NM_001002026,0.0
NM_001002231,0.0
NM_001002257,0.0
NM_001002258,0.0
NM_001002259,0.0
NM_001002262,0.0
NM_001002264,0.0
NM_001002266,0.0
NM_001002269,0.0
NM_001002292,0.0
NM_001002295,0.0
NM_001002296,0.0
NM_001002759,0.0
NM_001002762,0.0
NM_001002796,0.0
NM_001002800,0.0
NM_001002810,0.0
NM_001002811,0.0
NM_001002812,0.0
NM_001002814,0.0
NM_001002838,0.0
NM_001002844,0.0
NM_001002860,0.0
NM_001002862,0.0
NM_001002876,0.0
NM_001002901,0.0
NM_001002913,0.0
NM_001002914,0.0
NM_001002924,0.0
NM_001002926,0.0
NM_001003398,0.0
NM_001003406,0.0
NM_001003407,0.0
NM_001003652,0.0
NM_001003665,0.0
NM_001003674,0.0
NM_001003675,0.0
NM_001003676,0.0
NM_001003681,0.0
NM_001003682,0.0
NM_001003683,0.0
NM_001003688,0.0
NM_001003692,0.0
NM_001003694,0.0
NM_001003698,0.0
NM_001003699,0.0
NM_001003700,0.0
NM_001003712,0.0
NM_001003715,0.0
NM_001003716,0.0
NM_001003722,0.0
NM_001003786,0.0
NM_001003787,0.0
NM_001003788,0.0
NM_001003790,0.0
NM_001003791,0.0
NM_001003792,0.0
NM_001003793,0.0
NM_001003794,0.0
NM_001003795,0.0
NM_001003799,0.0
NM_001003800,0.0
NM_001003809,0.0
NM_001003810,0.0
NM_001003818,0.0
NM_001003828,0.0
NM_001003841,0.0
NM_001003845,0.0
NM_001003897,0.0
NM_001003937,0.0
NM_001003940,0.0
NM_001003941,0.0
NM_001003942,0.0
NM_001003943,0.0
NM_001003945,0.0
NM_001004023,0.0
NM_001004065,0.0
NM_001004125,0.0
NM_001004128,0.0
NM_001004196,0.0
NM_001004297,0.0
NM_001004301,0.0
NM_001004304,0.0
NM_001004308,0.0
NM_001004309,0.0
NM_001004317,0.0
NM_001004318,0.0
NM_001004325,0.0
NM_001004328,0.0
NM_001004329,0.0
NM_001004339,0.0
NM_001004342,0.0
NM_001004351,0.0
NM_001004354,0.0
NM_001004360,0.0
NM_001004419,0.0
NM_001004434,0.0
NM_001004441,0.0
NM_001004720,0.0
NM_001005,0.0
NM_001005210,0.0
NM_001005212,0.0
NM_001005242,0.0
NM_001005271,0.0
NM_001005273,0.0
NM_001005335,0.0
NM_001005336,0.0
NM_001005337,0.0
NM_001005353,0.0
NM_001005354,0.0
NM_001005356,0.0
NM_001005360,0.0
NM_001005361,0.0
NM_001005362,0.0
NM_001005366,0.0
NM_001005368,0.0
NM_001005373,0.0
NM_001005374,0.0
NM_001005386,0.0
NM_001005388,0.0
NM_001005389,0.0
NM_001005404,0.0
NM_001005405,0.0
NM_001005463,0.0
NM_001005473,0.0
NM_001005505,0.0
NM_001005526,0.0
NM_001005738,0.0
NM_001005741,0.0
NM_001005743,0.0
NM_001005744,0.0
NM_001005745,0.0
NM_001005746,0.0
NM_001005747,0.0
NM_001005752,0.0
NM_001005753,0.0
NM_001005781,0.0
NM_001005782,0.0
NM_001005849,0.0
NM_001005851,0.0
NM_001005862,0.0
NM_001005915,0.0
NM_001005918,0.0
NM_001006115,0.0
NM_001006600,0.0
NM_001006605,0.0
NM_001006610,0.0
NM_001006616,0.0
NM_001006617,0.0
NM_001006618,0.0
NM_001006619,0.0
NM_001006620,0.0
NM_001006621,0.0
NM_001006622,0.0
NM_001006623,0.0
NM_001006624,0.0
NM_001006625,0.0
NM_001006626,0.0
NM_001006627,0.0
NM_001006630,0.0
NM_001006632,0.0
NM_001006634,0.0
NM_001006636,0.0
NM_001006638,0.0
NM_001006639,0.0
NM_001006640,0.0
NM_001006642,0.0
NM_001006656,0.0
NM_001006657,0.0
NM_001006666,0.0
NM_001006932,0.0
NM_001006943,0.0
NM_001006945,0.0
NM_001006946,0.0
NM_001007,0.0
NM_001007024,0.0
NM_001007025,0.0
NM_001007027,0.0
NM_001007033,0.0
NM_001007072,0.0
NM_001007075,0.0
NM_001007088,0.0
NM_001007094,0.0
NM_001007097,0.0
NM_001007098,0.0
NM_001007099,0.0
NM_001007100,0.0
NM_001007102,0.0
NM_001007122,0.0
NM_001007139,0.0
NM_001007156,0.0
NM_001007169,0.0
NM_001007188,0.0
NM_001007225,0.0
NM_001007226,0.0
NM_001007228,0.0
NM_001007229,0.0
NM_001007230,0.0
NM_001007231,0.0
NM_001007233,0.0
NM_001007234,0.0
NM_001007237,0.0
NM_001007239,0.0
NM_001007246,0.0
NM_001007250,0.0
NM_001007257,0.0
NM_001007267,0.0
NM_001007269,0.0
NM_001007270,0.0
NM_001007278,0.0
NM_001007464,0.0
NM_001007466,0.0
NM_001007468,0.0
NM_001007470,0.0
NM_001007471,0.0
NM_001007523,0.0
NM_001007524,0.0
NM_001007525,0.0
NM_001007531,0.0
NM_001007538,0.0
NM_001007553,0.0
NM_001007559,0.0
NM_001007561,0.0
NM_001007793,0.0
NM_001008211,0.0
NM_001008212,0.0
NM_001008213,0.0
NM_001008216,0.0
NM_001008220,0.0
NM_001008222,0.0
NM_001008225,0.0
NM_001008226,0.0
NM_001008228,0.0
NM_001008229,0.0
NM_001008239,0.0
NM_001008272,0.0
NM_001008273,0.0
NM_001008388,0.0
NM_001008390,0.0
NM_001008391,0.0
NM_001008392,0.0
NM_001008393,0.0
NM_001008394,0.0
NM_001008396,0.0
NM_001008397,0.0
NM_001008405,0.0
NM_001008410,0.0
NM_001008493,0.0
NM_001008495,0.0
NM_001008503,0.0
NM_001008504,0.0
NM_001008505,0.0
NM_001008528,0.0
NM_001008529,0.0
NM_001008537,0.0
NM_001008539,0.0
NM_001008541,0.0
NM_001008564,0.0
NM_001008566,0.0
NM_001008657,0.0
NM_001008660,0.0
NM_001008701,0.0
NM_001008707,0.0
NM_001008709,0.0
NM_001008710,0.0
NM_001008711,0.0
NM_001008712,0.0
NM_001008723,0.0
NM_001008738,0.0
NM_001008744,0.0
NM_001008749,0.0
NM_001008777,0.0
NM_001008781,0.0
NM_001008801,0.0
NM_001008860,0.0
NM_001008892,0.0
NM_001008894,0.0
NM_001008895,0.0
NM_001008910,0.0
NM_001008938,0.0
NM_001008949,0.0
NM_001009185,0.0
NM_001009186,0.0
NM_001009554,0.0
NM_001009555,0.0
NM_001009566,0.0
NM_001009570,0.0
NM_001009571,0.0
NM_001009608,0.0
NM_001009614,0.0
NM_001009616,0.0
NM_001009814,0.0
NM_001009880,0.0
NM_001009881,0.0
NM_001009899,0.0
NM_001009905,0.0
NM_001009909,0.0
NM_001009921,0.0
NM_001009922,0.0
NM_001009931,0.0
NM_001009944,0.0
NM_001009958,0.0
NM_001009959,0.0
NM_001009960,0.0
NM_001009984,0.0
NM_001009992,0.0
NM_001009993,0.0
NM_001010000,0.0
NM_001010844,0.0
NM_001010846,0.0
NM_001010847,0.0
NM_001010848,0.0
NM_001010851,0.0
NM_001010852,0.0
NM_001010854,0.0
NM_001010855,0.0
NM_001010857,0.0
NM_001010858,0.0
NM_001010861,0.0
NM_001010862,0.0
NM_001010863,0.0
NM_001010866,0.0
NM_001010867,0.0
NM_001010870,0.0
NM_001010872,0.0
NM_001010874,0.0
NM_001010875,0.0
NM_001010879,0.0
NM_001010880,0.0
NM_001010883,0.0
NM_001010887,0.0
NM_001010888,0.0
NM_001010891,0.0
NM_001010895,0.0
NM_001010898,0.0
NM_001010903,0.0
NM_001010904,0.0
NM_001010906,0.0
NM_001010909,0.0
NM_001010915,0.0
NM_001010917,0.0
NM_001010922,0.0
NM_001010923,0.0
NM_001010924,0.0
NM_001010926,0.0
NM_001010927,0.0
NM_001010931,0.0
NM_001010932,0.0
NM_001010933,0.0
NM_001010934,0.0
NM_001010935,0.0
NM_001010942,0.0
NM_001010969,0.0
NM_001010979,0.0
NM_001010982,0.0
NM_001010984,0.0
NM_001010986,0.0
NM_001010989,0.0
NM_001011513,0.0
NM_001011537,0.0
NM_001011544,0.0
NM_001011552,0.0
NM_001011554,0.0
NM_001011657,0.0
NM_001011658,0.0
NM_001011663,0.0
NM_001011666,0.0
NM_001011667,0.0
NM_001011668,0.0
NM_001011669,0.0
NM_001011670,0.0
NM_001011671,0.0
NM_001011703,0.0
NM_001011708,0.0
NM_001011713,0.0
NM_001011718,0.0
NM_001011880,0.0
NM_001011885,0.0
NM_001012241,0.0
NM_001012264,0.0
NM_001012267,0.0
NM_001012270,0.0
NM_001012271,0.0
NM_001012300,0.0
NM_001012302,0.0
NM_001012320,0.0
NM_001012329,0.0
NM_001012333,0.0
NM_001012334,0.0
NM_001012338,0.0
NM_001012339,0.0
NM_001012361,0.0
NM_001012393,0.0
NM_001012398,0.0
NM_001012414,0.0
NM_001012418,0.0
NM_001012426,0.0
NM_001012427,0.0
NM_001012428,0.0
NM_001012454,0.0
NM_001012455,0.0
NM_001012478,0.0
NM_001012502,0.0
NM_001012505,0.0
NM_001012508,0.0
NM_001012511,0.0
NM_001012514,0.0
NM_001012516,0.0
NM_001012642,0.0
NM_001012659,0.0
NM_001012729,0.0
NM_001012750,0.0
NM_001012751,0.0
NM_001012752,0.0
NM_001012753,0.0
NM_001012754,0.0
NM_001012755,0.0
NM_001012756,0.0
NM_001012758,0.0
NM_001012761,0.0
NM_001012763,0.0
NM_001012957,0.0
NM_001012958,0.0
NM_001012959,0.0
NM_001012964,0.0
NM_001012965,0.0
NM_001012968,0.0
NM_001012973,0.0
NM_001012980,0.0
NM_001012981,0.0
NM_001012991,0.0
NM_001012994,0.0
NM_001013253,0.0
NM_001013254,0.0
NM_001013398,0.0
NM_001013406,0.0
NM_001013415,0.0
NM_001013436,0.0
NM_001013437,0.0
NM_001013438,0.0
NM_001013439,0.0
NM_001013615,0.0
NM_001013619,0.0
NM_001013620,0.0
NM_001013627,0.0
NM_001013628,0.0
NM_001013635,0.0
NM_001013647,0.0
NM_001013659,0.0
NM_001013660,0.0
NM_001013693,0.0
NM_001013694,0.0
NM_001013698,0.0
NM_001013703,0.0
NM_001013742,0.0
NM_001013746,0.0
NM_001013839,0.0
NM_001013848,0.0
NM_001014283,0.0
NM_001014342,0.0
NM_001014380,0.0
NM_001014431,0.0
NM_001014432,0.0
NM_001014434,0.0
NM_001014436,0.0
NM_001014443,0.0
NM_001014445,0.0
NM_001014449,0.0
NM_001014451,0.0
NM_001014794,0.0
NM_001014795,0.0
NM_001014796,0.0
NM_001014797,0.0
NM_001014831,0.0
NM_001014832,0.0
NM_001014834,0.0
NM_001014835,0.0
NM_001014839,0.0
NM_001014841,0.0
NM_001015045,0.0
NM_001015048,0.0
NM_001015049,0.0
NM_001015051,0.0
NM_001015053,0.0
NM_001015508,0.0
NM_001015509,0.0
NM_001015877,0.0
NM_001015880,0.0
NM_001015887,0.0
NM_001017368,0.0
NM_001017369,0.0
NM_001017370,0.0
NM_001017371,0.0
NM_001017373,0.0
NM_001017388,0.0
NM_001017392,0.0
NM_001017395,0.0
NM_001017402,0.0
NM_001017408,0.0
NM_001017415,0.0
NM_001017424,0.0
NM_001017425,0.0
NM_001017437,0.0
NM_001017440,0.0
NM_001017523,0.0
NM_001017536,0.0
NM_001017919,0.0
NM_001017922,0.0
NM_001017923,0.0
NM_001017926,0.0
NM_001017930,0.0
NM_001017956,0.0
NM_001017957,0.0
NM_001017958,0.0
NM_001017961,0.0
NM_001017962,0.0
NM_001017963,0.0
NM_001017969,0.0
NM_001017970,0.0
NM_001017977,0.0
NM_001017980,0.0
NM_001017987,0.0
NM_001017989,0.0
NM_001017992,0.0
NM_001017995,0.0
NM_001017999,0.0
NM_001018000,0.0
NM_001018001,0.0
NM_001018003,0.0
NM_001018009,0.0
NM_001018011,0.0
NM_001018036,0.0
NM_001018037,0.0
NM_001018038,0.0
NM_001018039,0.0
NM_001018044,0.0
NM_001018050,0.0
NM_001018052,0.0
NM_001018053,0.0
NM_001018054,0.0
NM_001018056,0.0
NM_001018057,0.0
NM_001018058,0.0
NM_001018066,0.0
NM_001018067,0.0
NM_001018068,0.0
NM_001018069,0.0
NM_001018072,0.0
NM_001018076,0.0
NM_001018077,0.0
NM_001018088,0.0
NM_001018090,0.0
NM_001018091,0.0
NM_001018100,0.0
NM_001018108,0.0
NM_001018109,0.0
NM_001018112,0.0
NM_001018116,0.0
NM_001018837,0.0
NM_001019,0.0
NM_001020658,0.0
NM_001020818,0.0
NM_001020819,0.0
NM_001020820,0.0
NM_001020821,0.0
NM_001020825,0.0
NM_001023560,0.0
NM_001023561,0.0
NM_001023563,0.0
NM_001023567,0.0
NM_001023587,0.0
NM_001024074,0.0
NM_001024075,0.0
NM_001024094,0.0
NM_001024216,0.0
NM_001024218,0.0
NM_001024226,0.0
NM_001024227,0.0
NM_001024228,0.0
NM_001024372,0.0
NM_001024381,0.0
NM_001024383,0.0
NM_001024401,0.0
NM_001024465,0.0
NM_001024466,0.0
NM_001024596,0.0
NM_001024628,0.0
NM_001024629,0.0
NM_001024630,0.0
NM_001024647,0.0
NM_001024649,0.0
NM_001024660,0.0
NM_001024666,0.0
NM_001024674,0.0
NM_001024680,0.0
NM_001024688,0.0
NM_001024736,0.0
NM_001024808,0.0
NM_001024809,0.0
NM_001024843,0.0
NM_001024847,0.0
NM_001024855,0.0
NM_001024858,0.0
NM_001024912,0.0
NM_001024921,0.0
NM_001024934,0.0
NM_001024935,0.0
NM_001024936,0.0
NM_001024947,0.0
NM_001024948,0.0
NM_001024956,0.0
NM_001024959,0.0
NM_001024960,0.0
NM_001025,0.0
NM_001025068,0.0
NM_001025069,0.0
NM_001025076,0.0
NM_001025077,0.0
NM_001025081,0.0
NM_001025087,0.0
NM_001025088,0.0
NM_001025089,0.0
NM_001025090,0.0
NM_001025091,0.0
NM_001025092,0.0
NM_001025100,0.0
NM_001025101,0.0
NM_001025105,0.0
NM_001025107,0.0
NM_001025108,0.0
NM_001025109,0.0
NM_001025158,0.0
NM_001025159,0.0
NM_001025205,0.0
NM_001025231,0.0
NM_001025234,0.0
NM_001025236,0.0
NM_001025237,0.0
NM_001025238,0.0
NM_001025239,0.0
NM_001025242,0.0
NM_001025243,0.0
NM_001025252,0.0
NM_001025253,0.0
NM_001025266,0.0
NM_001025300,0.0
NM_001025356,0.0
NM_001025366,0.0
NM_001025367,0.0
NM_001025368,0.0
NM_001025369,0.0
NM_001025370,0.0
NM_001025389,0.0
NM_001025390,0.0
NM_001025579,0.0
NM_001025580,0.0
NM_001025591,0.0
NM_001025593,0.0
NM_001025595,0.0
NM_001025616,0.0
NM_001025780,0.0
NM_001026213,0.0
NM_001029858,0.0
NM_001029859,0.0
NM_001029860,0.0
NM_001029863,0.0
NM_001029864,0.0
NM_001029871,0.0
NM_001029875,0.0
NM_001029880,0.0
NM_001029882,0.0
NM_001029883,0.0
NM_001029884,0.0
NM_001029955,0.0
NM_001029997,0.0
NM_001029998,0.0
NM_001030003,0.0
NM_001030004,0.0
NM_001030006,0.0
NM_001030007,0.0
NM_001030009,0.0
NM_001030010,0.0
NM_001030055,0.0
NM_001030060,0.0
NM_001030273,0.0
NM_001030288,0.0
NM_001031623,0.0
NM_001031672,0.0
NM_001031679,0.0
NM_001031680,0.0
NM_001031683,0.0
NM_001031684,0.0
NM_001031689,0.0
NM_001031690,0.0
NM_001031695,0.0
NM_001031700,0.0
NM_001031701,0.0
NM_001031702,0.0
NM_001031703,0.0
NM_001031705,0.0
NM_001031709,0.0
NM_001031710,0.0
NM_001031711,0.0
NM_001031713,0.0
NM_001031715,0.0
NM_001031716,0.0
NM_001031720,0.0
NM_001031721,0.0
NM_001031722,0.0
NM_001031723,0.0
NM_001031726,0.0
NM_001031727,0.0
NM_001031732,0.0
NM_001031733,0.0
NM_001031738,0.0
NM_001031741,0.0
NM_001031746,0.0
NM_001031749,0.0
NM_001031800,0.0
NM_001031801,0.0
NM_001031804,0.0
NM_001031812,0.0
NM_001031835,0.0
NM_001031836,0.0
NM_001031847,0.0
NM_001031848,0.0
NM_001031853,0.0
NM_001031855,0.0
NM_001032221,0.0
NM_001032280,0.0
NM_001032281,0.0
NM_001032282,0.0
NM_001032283,0.0
NM_001032284,0.0
NM_001032288,0.0
NM_001032293,0.0
NM_001032295,0.0
NM_001032296,0.0
NM_001032363,0.0
NM_001032372,0.0
NM_001032373,0.0
NM_001032392,0.0
NM_001032394,0.0
NM_001032395,0.0
NM_001032731,0.0
NM_001032999,0.0
NM_001033,0.0
NM_001033002,0.0
NM_001033025,0.0
NM_001033026,0.0
NM_001033044,0.0
NM_001033045,0.0
NM_001033047,0.0
NM_001033056,0.0
NM_001033057,0.0
NM_001033081,0.0
NM_001033082,0.0
NM_001033083,0.0
NM_001033087,0.0
NM_001033088,0.0
NM_001033117,0.0
NM_001033503,0.0
NM_001033504,0.0
NM_001033520,0.0
NM_001033551,0.0
NM_001033553,0.0
NM_001033554,0.0
NM_001033555,0.0
NM_001033557,0.0
NM_001033559,0.0
NM_001033560,0.0
NM_001033561,0.0
NM_001033564,0.0
NM_001033566,0.0
NM_001033568,0.0
NM_001033575,0.0
NM_001033578,0.0
NM_001033602,0.0
NM_001033604,0.0
NM_001033605,0.0
NM_001033667,0.0
NM_001033714,0.0
NM_001033723,0.0
NM_001033756,0.0
NM_001033855,0.0
NM_001033857,0.0
NM_001033858,0.0
NM_001033925,0.0
NM_001033930,0.0
NM_001034,0.0
NM_001034173,0.0
NM_001034832,0.0
NM_001034841,0.0
NM_001034852,0.0
NM_001034914,0.0
NM_001034915,0.0
NM_001034954,0.0
NM_001034955,0.0
NM_001034956,0.0
NM_001034996,0.0
NM_001035,0.0
NM_001035005,0.0
NM_001035223,0.0
NM_001035230,0.0
NM_001035247,0.0
NM_001035254,0.0
NM_001035256,0.0
NM_001035260,0.0
NM_001035505,0.0
NM_001035507,0.0
